Which category does the property fall under?,What will the project consist of?,What is the intended material for the fence or gate?,What is the desired height of the fence?,What is the estimated length of the fence?,How many access gates are to be included in the fence design?,Should the professional be responsible for supplying the materials?,Please indicate any supplementary fence-related services you may need?,When would you like the work to start?,How likely are you to hire a professional?,Additional Details
Driveway gate - supply and installation,Replacement of the existing gate,As advised by a qualified professional,As advised by a qualified professional,no fence needed only gate  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I might hire someone,"I need  a contractor to provide and install a  replacement driveway gate with a contemporary metal, sliding gate."
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm leaning towards hiring someone,
Apartment or flat,Repair of the existing gate,Timber/Wood (commonly used),As advised by a qualified professional,Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,"Fence storm damaged,"
Single-story home (Bungalow),Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Remove existing broken concrete post
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),5 feet (1.5 meters),Unsure,No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm still researching and exploring options,can be very windy  causing fence to be damaged
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),7 feet (2.1 meters),50-100 feet (15-30 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,I'm flexible,I'm certain I'll be hiring someone,
Detached - semi-detached or terraced house,Installation of a new fence,Composite materials,4 feet (1.2 meters),50-100 feet (15-30 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Need a fence supply and fit either side of my property from Detached - semi-detached or terraced house to pavement
Church,Installation of a new fence,Composite materials,4 feet (1.2 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Installation,As soon as possible,I'm ready to hire immediately,
Single-story home (Bungalow),Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),4 feet (1.2 meters),Unsure  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm ready to hire immediately,
Park home,Installation of a new gate,Timber/Wood (commonly used),Greater than 8 feet (over 2.4 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,No additional services required,I'm flexible,I'm certain I'll be hiring someone,Easy access
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),100-200 feet (30-60 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few months,I'm still researching and exploring options,Concrete posts and concrete base support for wooden fence
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,Within the next few weeks,I'm ready to hire immediately,Fence to replace broken one across end of garden with 90degree half width panel at each end to cover corners on side fences
Detached - semi-detached or terraced house,Installation of a new fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,Application of sealant,As soon as possible,I'm ready to hire immediately,concrete posts
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Unsure,No gates required,Not sure yet,No additional services required,6months,I'm still researching and exploring options,I would just like a quote at the moment just shopping around.
Detached - semi-detached or terraced house,Repair of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters)  No gates required,One gate,Yes - I would like the professional to supply the materials,Application of sealant,Within the next few weeks,I'm leaning towards hiring someone,
Detached - semi-detached or terraced house,Replacement of the existing fence,Timber/Wood (commonly used),6 feet (1.8 meters),Less than 50 feet (under 15 meters),No gates required,Yes - I would like the professional to supply the materials,No additional services required,As soon as possible,I'm ready to hire immediately,"renew garden fence, 40ft concrete posts and gravel boards"
